Id,IsDeleted,MasterRecordId,AccountId,LastName,FirstName,Salutation,Name,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,OtherAddress,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,MailingAddress,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastCURequestDate,LastCUUpdateDate,LastViewedDate,LastReferencedDate,EmailBouncedReason,EmailBouncedDate,IsEmailBounced,PhotoUrl,Jigsaw,JigsawContactId,CleanStatus,IndividualId
003BK000004PSQIYA4,,,001BK000009rsfaYAA,石鍋,佳奈,,石鍋 佳奈,,,,,,,,,,大塚３－５－１０,文京区,東京都,112-0012,JP,,,,"{""city"":""文京区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""112-0012"",""state"":""東京都"",""street"":""大塚３－５－１０""}",03-1234-5044,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u301@sumisho-machinecs.example.com,営業部長,,清田　博美,口コミ,1958-03-04,最初は他社製品に非常に興味を持っていたが、現在は弊社製品を気に入っている,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQIYA4,,,Pending,
003BK000004PSQJYA4,,,001BK000009rsenYAA,今谷,聡,,今谷 聡,,,,,,,,,,内神田２－３－４,千代田区,東京都,101-0047,JP,,,,"{""city"":""千代田区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""101-0047"",""state"":""東京都"",""street"":""内神田２－３－４""}",03-1234-5074,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u003@stainless-center.example.com,営業部長,,清田　博美,口コミ,1958-03-04,最初は他社製品に非常に興味を持っていたが、現在は弊社製品を気に入っている,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQJYA4,,,Pending,
003BK000004PSQKYA4,,,001BK000009rsf8YAA,本間,計,,本間 計,,,,,,,,,,西原１－１－１,朝霞市,埼玉県,351-0034,JP,,,,"{""city"":""朝霞市"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""351-0034"",""state"":""埼玉県"",""street"":""西原１－１－１""}",03-1234-5017,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u004@azumino.example.com,営業部長,,清田　博美,口コミ,1958-03-04,最初は他社製品に非常に興味を持っていたが、現在は弊社製品を気に入っている,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQKYA4,,,Pending,
003BK000004PSQLYA4,,,001BK000009rsfdYAA,崎浦,典子,,崎浦 典子,,,,,,,,,,高輪 3-13-1,港区,東京都,108-8612,JP,,,,"{""city"":""港区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""108-8612"",""state"":""東京都"",""street"":""高輪 3-13-1""}",03-1234-5047,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u005@gradprix-hotel.example.com,営業マネージャ,,清田　博美,DM,1966-04-08,営業部のマネージャとして部下からの信頼も厚く、この商談のキーマンではないが、影のキーマンとしてはかなりの決定力を持つ。,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQLYA4,,,Pending,
003BK000004PSQMYA4,,,001BK000009rsfeYAA,栗山,有香,,栗山 有香,,,,,,,,,,武1－5－28,鹿児島市,鹿児島県,112-8654,JP,,,,"{""city"":""鹿児島市"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""112-8654"",""state"":""鹿児島県"",""street"":""武1－5－28""}",03-1234-5048,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u006@maximum.example.com,営業マネージャ,,清田　博美,DM,1966-04-08,営業部のマネージャとして部下からの信頼も厚く、この商談のキーマンではないが、影のキーマンとしてはかなりの決定力を持つ。,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQMYA4,,,Pending,
003BK000004PSQNYA4,,,001BK000009rsfWYAQ,鳥居,良朗,,鳥居 良朗,,,,,,,,,,大久保２－５－２５,新宿区,東京都,169-8558,JP,,,,"{""city"":""新宿区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""169-8558"",""state"":""東京都"",""street"":""大久保２－５－２５""}",03-1234-5040,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u007@kawada.example.com,営業部長,,清田　博美,口コミ,1958-03-04,最初は他社製品に非常に興味を持っていたが、現在は弊社製品を気に入っている,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQNYA4,,,Pending,
003BK000004PSQOYA4,,,001BK000009rsfiYAA,中島,俊哉,,中島 俊哉,,,,,,,,,,羽田５－１－１３,大田区,東京都,144-8677,JP,,,,"{""city"":""大田区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""144-8677"",""state"":""東京都"",""street"":""羽田５－１－１３""}",03-1234-5052,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u008@nohara-techno.example.com,代表取締役社長,,清田　博美,展示会,1946-10-10,IBM出身で、大胆ではっきりした方。意思決定が早い。,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQOYA4,,,Pending,
003BK000004PSQPYA4,,,001BK000009rsfsYAA,鈴木,綾太,,鈴木 綾太,,,,,,,,,,八丁堀２－１３－８,中央区,東京都,104-8510,JP,,,,"{""city"":""中央区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""104-8510"",""state"":""東京都"",""street"":""八丁堀２－１３－８""}",03-1234-5062,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u009@oosaka-boeki.example.com,営業部長,,清田　博美,口コミ,1958-03-04,最初は他社製品に非常に興味を持っていたが、現在は弊社製品を気に入っている,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQPYA4,,,Pending,
003BK000004PSQQYA4,,,001BK000009rsfRYAQ,小関,律在,,小関 律在,,,,,,,,,,紀尾井町３－６,千代田区,東京都,5420085,JP,,,,"{""city"":""千代田区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""5420085"",""state"":""東京都"",""street"":""紀尾井町３－６""}",03-1234-5035,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u010@all-electronics.example.com,営業部長,,清田　博美,口コミ,1958-03-04,最初は他社製品に非常に興味を持っていたが、現在は弊社製品を気に入っている,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQQYA4,,,Pending,
003BK000004PSQRYA4,,,001BK000009rsfhYAA,青柳,良志男,,青柳 良志男,,,,,,,,,,久が原５－１３－１２,大田区,東京都,146-8580,JP,,,,"{""city"":""大田区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""146-8580"",""state"":""東京都"",""street"":""久が原５－１３－１２""}",03-1234-5051,03-5793-8302,090-1234-4865,03-5793-8302,03-5793-8301,03-5459-8301,,u011@murai-seiko.example.com,営業部長,,清田　博美,口コミ,1958-03-04,最初は他社製品に非常に興味を持っていたが、現在は弊社製品を気に入っている,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,005BK00000205bFYAQ,2023-07-03T08:20:14.000+0000,,,,2023-07-03T08:20:14.000+0000,2023-07-03T08:20:14.000+0000,,,,/services/images/photo/003BK000004PSQRYA4,,,Pending,
